sample	nil_id	pedigree
PN10_SID880	Zv00403411	Zv.0040_P3_P4_P1.1.1.1
PN10_SID881	Zv00403511	Zv.0040_P3_P5_P1.1.1.1
PN10_SID882	Zv00403512	Zv.0040_P3_P5_P1.2.1.1
PN10_SID883	Zv04303111	Zv.0430_P3_P1_P1.1.1.1
PN10_SID884	Zv04303112	Zv.0430_P3_P1_P1.2.1.1
PN10_SID885	Zv04303211	Zv.0430_P3_P2_P1.1.1.1
PN10_SID886	Zv04303212	Zv.0430_P3_P2_P1.2.1.1
PN10_SID887	Zv04303311	Zv.0430_P3_P3_P1.1.1.1
PN10_SID888	Zv04303312	Zv.0430_P3_P3_P1.2.1.1
PN10_SID889	Zv04303412	Zv.0430_P3_P4_P1.2.1.1
PN10_SID890	Zv04303413	Zv.0430_P3_P4_P1.3.1.1
PN10_SID891	Zv04303511	Zv.0430_P3_P5_P1.1.1.1
PN10_SID892	Zv04404211	Zv.0440_P4_P2_P1.1.1.1
PN10_SID894	Zv04404312	Zv.0440_P4_P3_P1.2.1.1
PN10_SID895	Zv04404411	Zv.0440_P4_P4_P1.1.1.1
PN10_SID896	Zv04404511	Zv.0440_P4_P5_P1.1.1.1
PN10_SID897	Zl00101111	Zl.0010_P1_P1_P1.1.1.1
PN10_SID898	Zl00101112	Zl.0010_P1_P1_P1.2.1.1
PN10_SID899	Zl00101113	Zl.0010_P1_P1_P1.3.1.1
PN10_SID900	Zl00101211	Zl.0010_P1_P2_P1.1.1.1
PN10_SID901	Zl00101212	Zl.0010_P1_P2_P1.2.1.1
PN10_SID902	Zl00101213	Zl.0010_P1_P2_P1.3.1.1
PN10_SID903	Zl00101214	Zl.0010_P1_P2_P1.4.1.1
PN10_SID904	Zl00101223	Zl.0010_P1_P2_P2.3.1.1
PN10_SID905	Zl00101224	Zl.0010_P1_P2_P2.4.1.1
PN10_SID906	Zl00101232	Zl.0010_P1_P2_P3.2.1.1
PN10_SID907	Zl00101233	Zl.0010_P1_P2_P3.3.1.1
PN10_SID908	Zl00101235	Zl.0010_P1_P2_P3.5.1.1
PN10_SID909	Zl00101311	Zl.0010_P1_P3_P1.1.1.1
PN10_SID910	Zl00101313	Zl.0010_P1_P3_P1.3.1.1
PN10_SID911	Zl00101315	Zl.0010_P1_P3_P1.5.1.1
PN10_SID912	Zl00101414	Zl.0010_P1_P4_P1.4.1.1
PN10_SID913	Zl00101415	Zl.0010_P1_P4_P1.5.1.1
PN10_SID914	Zl00203111	Zl.0020_P3_P1_P1.1.1.1
PN10_SID915	Zl00203112	Zl.0020_P3_P1_P1.2.1.1
PN10_SID916	Zl00203113	Zl.0020_P3_P1_P1.3.1.1
PN10_SID917	Zl00203114	Zl.0020_P3_P1_P1.4.1.1
PN10_SID918	Zl00203121	Zl.0020_P3_P1_P2.1.1.1
PN10_SID919	Zl00203122	Zl.0020_P3_P1_P2.2.1.1
PN10_SID920	Zl00203123	Zl.0020_P3_P1_P2.3.1.1
PN10_SID921	Zl00203124	Zl.0020_P3_P1_P2.4.1.1
PN10_SID922	Zl00203131	Zl.0020_P3_P1_P3.1.1.1
PN10_SID923	Zl00203132	Zl.0020_P3_P1_P3.2.1.1
PN10_SID924	Zl00203133	Zl.0020_P3_P1_P3.3.1.1
PN10_SID925	Zl00203134	Zl.0020_P3_P1_P3.4.1.1
PN10_SID926	Zl00203143	Zl.0020_P3_P1_P4.3.1.1
PN10_SID927	Zl00203145	Zl.0020_P3_P1_P4.5.1.1
PN10_SID928	Zl00203211	Zl.0020_P3_P2_P1.1.1.1
PN10_SID929	Zl00203212	Zl.0020_P3_P2_P1.2.1.1
PN10_SID930	Zl00203213	Zl.0020_P3_P2_P1.3.1.1
PN10_SID931	Zl00203214	Zl.0020_P3_P2_P1.4.1.1
PN10_SID932	Zl00203313	Zl.0020_P3_P3_P1.3.1.1
PN10_SID933	Zl00203314	Zl.0020_P3_P3_P1.4.1.1
PN10_SID934	Zl00203315	Zl.0020_P3_P3_P1.5.1.1
PN10_SID935	Zl00203321	Zl.0020_P3_P3_P2.1.1.1
PN10_SID936	Zl00203322	Zl.0020_P3_P3_P2.2.1.1
PN10_SID937	Zl00203323	Zl.0020_P3_P3_P2.3.1.1
PN10_SID938	Zl00203324	Zl.0020_P3_P3_P2.4.1.1
PN10_SID939	Zl00203411	Zl.0020_P3_P4_P1.1.1.1
PN10_SID940	Zl00203421	Zl.0020_P3_P4_P2.1.1.1
PN10_SID941	Zl00203422	Zl.0020_P3_P4_P2.2.1.1
PN10_SID942	Zl00203423	Zl.0020_P3_P4_P2.3.1.1
PN10_SID943	Zl00203424	Zl.0020_P3_P4_P2.4.1.1
PN10_SID944	Zl00203432	Zl.0020_P3_P4_P3.2.1.1
PN10_SID945	Zl00203434	Zl.0020_P3_P4_P3.4.1.1
PN10_SID946	Zl00203435	Zl.0020_P3_P4_P3.5.1.1
PN10_SID947	Zl00203512	Zl.0020_P3_P5_P1.2.1.1
PN10_SID948	Zl00203514	Zl.0020_P3_P5_P1.4.1.1
PN10_SID949	Zl00203521	Zl.0020_P3_P5_P2.1.1.1
PN10_SID950	Zl00203523	Zl.0020_P3_P5_P2.3.1.1
PN10_SID951	Zl00203524	Zl.0020_P3_P5_P2.4.1.1
PN10_SID952	Zl00404111	Zl.0040_P4_P1_P1.1.1.1
PN10_SID953	Zl00404112	Zl.0040_P4_P1_P1.2.1.1
PN10_SID954	Zl00404114	Zl.0040_P4_P1_P1.4.1.1
PN10_SID955	Zl00404121	Zl.0040_P4_P1_P2.1.1.1
PN10_SID956	Zl00404122	Zl.0040_P4_P1_P2.2.1.1
PN10_SID957	Zl00404123	Zl.0040_P4_P1_P2.3.1.1
PN10_SID958	Zl00404215	Zl.0040_P4_P2_P1.5.1.1
PN10_SID959	Zl00404311	Zl.0040_P4_P3_P1.1.1.1
PN10_SID960	Zl00404312	Zl.0040_P4_P3_P1.2.1.1
PN11_SID961	Zl00404313	Zl.0040_P4_P3_P1.3.1.1
PN11_SID962	Zl00404315	Zl.0040_P4_P3_P1.5.1.1
PN11_SID963	Zl00404322	Zl.0040_P4_P3_P2.2.1.1
PN11_SID964	Zl00404324	Zl.0040_P4_P3_P2.4.1.1
PN11_SID965	Zl00404325	Zl.0040_P4_P3_P2.5.1.1
PN11_SID966	Zl00404332	Zl.0040_P4_P3_P3.2.1.1
PN11_SID967	Zl00404334	Zl.0040_P4_P3_P3.4.1.1
PN11_SID968	Zl00404341	Zl.0040_P4_P3_P4.1.1.1
PN11_SID969	Zl00404342	Zl.0040_P4_P3_P4.2.1.1
PN11_SID970	Zl00404343	Zl.0040_P4_P3_P4.3.1.1
PN11_SID971	Zl00404411	Zl.0040_P4_P4_P1.1.1.1
PN11_SID972	Zl00404412	Zl.0040_P4_P4_P1.2.1.1
PN11_SID973	Zl00404413	Zl.0040_P4_P4_P1.3.1.1
PN11_SID974	Zl00404414	Zl.0040_P4_P4_P1.4.1.1
PN11_SID975	Zl00404422	Zl.0040_P4_P4_P2.2.1.1
PN11_SID976	Zl00404423	Zl.0040_P4_P4_P2.3.1.1
PN11_SID977	Zl00404424	Zl.0040_P4_P4_P2.4.1.1
PN11_SID978	Zl00404511	Zl.0040_P4_P5_P1.1.1.1
PN11_SID979	Zl00404513	Zl.0040_P4_P5_P1.3.1.1
PN11_SID980	Zl00404515	Zl.0040_P4_P5_P1.5.1.1
PN11_SID981	Zl00404521	Zl.0040_P4_P5_P2.1.1.1
PN11_SID982	Zl00404524	Zl.0040_P4_P5_P2.4.1.1
PN11_SID983	Zl00302111	Zl.0030_P2_P1_P1.1.1.1
PN11_SID984	Zl00302113	Zl.0030_P2_P1_P1.3.1.1
PN11_SID985	Zl00302114	Zl.0030_P2_P1_P1.4.1.1
PN11_SID986	Zl00302211	Zl.0030_P2_P2_P1.1.1.1
PN11_SID987	Zl00302212	Zl.0030_P2_P2_P1.2.1.1
PN11_SID988	Zl00302213	Zl.0030_P2_P2_P1.3.1.1
PN11_SID989	Zl00302311	Zl.0030_P2_P3_P1.1.1.1
PN11_SID990	Zl00302411	Zl.0030_P2_P4_P1.1.1.1
PN11_SID991	Zl00302412	Zl.0030_P2_P4_P1.2.1.1
PN11_SID992	Zl00302413	Zl.0030_P2_P4_P1.3.1.1
PN11_SID993	Zv00501111	Zv.0050_P1_P1_P1.1.1.1
PN11_SID994	Zv00501112	Zv.0050_P1_P1_P1.2.1.1
PN11_SID995	Zv00501211	Zv.0050_P1_P2_P1.1.1.1
PN11_SID996	Zv00501212	Zv.0050_P1_P2_P1.2.1.1
PN11_SID997	Zv00501311	Zv.0050_P1_P3_P1.1.1.1
PN11_SID998	Zv00501412	Zv.0050_P1_P4_P1.2.1.1
PN11_SID999	Zv00501511	Zv.0050_P1_P5_P1.1.1.1
PN11_SID1000	Zv00501512	Zv.0050_P1_P5_P1.2.1.1
PN11_SID1001	Zv00604211	Zv.0060_P4_P2_P1.1.1.1
PN11_SID1002	Zv00604212	Zv.0060_P4_P2_P1.2.1.1
PN11_SID1003	Zv00604312	Zv.0060_P4_P3_P1.2.1.1
PN11_SID1004	Zv00604412	Zv.0060_P4_P4_P1.2.1.1
PN11_SID1005	Zv00604511	Zv.0060_P4_P5_P1.1.1.1
PN11_SID1006	Zv00604512	Zv.0060_P4_P5_P1.2.1.1
PN11_SID1007	Zv03401111	Zv.0340_P1_P1_P1.1.1.1
PN11_SID1008	Zv03401112	Zv.0340_P1_P1_P1.2.1.1
PN11_SID1009	Zv03401211	Zv.0340_P1_P2_P1.1.1.1
PN11_SID1010	Zv03401212	Zv.0340_P1_P2_P1.2.1.1
PN11_SID1011	Zv03401312	Zv.0340_P1_P3_P1.2.1.1
PN11_SID1012	Zv03401411	Zv.0340_P1_P4_P1.1.1.1
PN11_SID1013	Zv03401412	Zv.0340_P1_P4_P1.2.1.1
PN11_SID1014	Zv03401511	Zv.0340_P1_P5_P1.1.1.1
PN11_SID1015	Zv03402211	Zv.0340_P2_P2_P1.1.1.1
PN11_SID1016	Zv03402311	Zv.0340_P2_P3_P1.1.1.1
PN11_SID1017	Zv03402312	Zv.0340_P2_P3_P1.2.1.1
PN11_SID1018	Zv03402411	Zv.0340_P2_P4_P1.1.1.1
PN11_SID1019	Zv03402412	Zv.0340_P2_P4_P1.2.1.1
PN11_SID1020	Zv03402511	Zv.0340_P2_P5_P1.1.1.1
PN11_SID1021	Zv00103111	Zv.0010_P3_P1_P1.1.1.1
PN11_SID1022	Zv00103112	Zv.0010_P3_P1_P1.2.1.1
PN11_SID1023	Zv00103311	Zv.0010_P3_P3_P1.1.1.1
PN11_SID1024	Zv00103312	Zv.0010_P3_P3_P1.2.1.1
PN11_SID1025	Zv00103411	Zv.0010_P3_P4_P1.1.1.1
PN11_SID1026	Zv00103412	Zv.0010_P3_P4_P1.2.1.1
PN11_SID1027	Zv00103512	Zv.0010_P3_P5_P1.2.1.1
